link,tipo_vivienda,n_habitaciones,n_baños,n_estacionamientos,total_superficie_m2,superficie_construida_m2,dirección
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/calle-nuevo-horizonte-684/864027,Casa,4.0,2.0,1,270,170,"El Bosque, Calle nuevo Horizonte 684"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/mauricio-rugendas-12971/3558587,Casa,3.0,2.0,4,170,100,"El Bosque, Mauricio Rugendas 12971"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/av-central-87/3579469,Casa,3.0,1.0,1,220,78,"El Bosque, Av. Central 87"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/lo-moreno/3646486,Casa,3.0,2.0,4,168,108,"El Bosque, Lo moreno"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/el-bosque-region-metropolitana/3339809,Casa,5.0,3.0,2,355,240,
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-monte/casa/casa-de-1-piso-en-villa-eden-el-monte/3148913,Casa,3.0,1.0,No,300,68,"El Monte, Casa de 1 Piso en Villa Eden. El Monte"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-monte/casa/casa-de-un-piso-en-sector-central-de-el-monte/3311350,Casa,5.0,2.0,No,670,185,"El Monte, Casa de un piso en sector central de El Monte"
https://chilepropiedades.cl/ver-publicacion/venta-usada/el-monte/casa/los-libertadores/2810157,Casa,3.0,,,,1800,"El Monte, Los Libertadores"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/av-las-torresav-santa-corina/3351339,Casa,4.0,2.0,No,120,89,"Estación Central, Av las torres/av santa corina"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/paraguayfrancisco-zelada/2355567,Casa,3.0,1.0,No,304,156,"Estación Central, Paraguay/Francisco Zelada"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/los-duraznos-256/3712528,Casa,5.0,1.0,,114,100,"Estación Central, Los Duraznos 256"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/el-chucao/3579097,Casa,5.0,3.0,2,120,114,"Estación Central, El chucao"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/recreo/3186934,Casa,6.0,1.0,,350,100,"Estación Central, Recreo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/av-las-rejas-sur-300/3510846,Casa,5.0,2.0,2,250,120,"Estación Central, Av. Las Rejas Sur 300"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/pajaritosalamedaruta-68metro-las-rejas/3409982,Casa,2.0,1.0,No,106,70,"Estación Central, Pajaritos/alameda/ruta 68/metro las rejas"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/el-altarcillo/3187009,Casa,4.0,2.0,4,300,40,"Estación Central, El Altarcillo"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/pinguinos/3154203,Casa,3.0,1.0,,200,160,"Estación Central, Pingüinos"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/francisco-collao/3156301,Casa,4.0,2.0,2,250,200,"Estación Central, Francisco Collao"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/propiedad-comercial-en-villa-las-rejas/3692255,Casa,8.0,4.0,No,338,131,"Estación Central, Propiedad Comercial en Villa Las Rejas"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/estacion-central/2935623,Casa,10.0,8.0,2,,500,"Estación Central, Estación Central"
https://chilepropiedades.cl/ver-publicacion/venta-usada/estacion-central/casa/general-velasquezjotabeche/3163035,Casa,5.0,2.0,No,625,250,"Estación Central, General Velasquez/Jotabeche"
